"","business_id","lats","longs"
"1",261,33.4685474,-112.0750849
"2",1716,33.4483992,-112.0717019
"3",2770,33.477939,-112.073417
"4",1631,33.4521542,-112.0686202
"5",369,33.4484654,-112.0712574
"6",3239,33.4521542,-112.0686202
"7",3599,33.475583,-112.074115
"8",1144,33.429424,-112.073929
"9",1442,33.4657117,-112.0657286
"10",2673,33.4640982988196,-112.073568999767
"11",2476,33.443909,-112.070122
"12",555,33.4450359,-112.0706266
"13",4772,33.4579128,-112.0686777
"14",2312,33.4547647,-112.0865171
"15",3885,33.439268,-112.073481
"16",3020,33.4470733,-112.0709775
"17",2961,33.4521542,-112.0686202
"18",3886,33.4523351,-112.0696144
"19",857,33.4499524,-112.0740511
"20",4398,33.465499,-112.081565
"21",4689,33.4372015,-112.0656044
"22",4121,33.4521542,-112.0686202
"23",444,33.44455,-112.073577
"24",2058,33.446885057319,-112.07107588649
"25",2327,33.4484911,-112.0744277
"26",5063,33.4653345,-112.0655975
"27",3538,33.4794762,-112.0736809
"28",3778,33.476644,-112.0736968
"29",3755,33.4796505,-112.0742162
"30",3184,33.4633319,-112.0741467
"31",3441,33.444801984944,-112.07211772211
"32",1702,33.442472,-112.065825
"33",99,33.4453626,-112.0674961
"34",3449,33.4575099,-112.0741235
"35",1073,33.4794961,-112.0469586
"36",2260,33.466086,-112.0323491
"37",2438,33.4654334,-112.063548
"38",5436,33.4701393,-112.0654347
"39",1042,33.45107,-112.055957
"40",5246,33.466043,-112.05026
"41",3084,33.4737734,-112.04749
"42",4316,33.4588421,-112.0609975
"43",4806,33.4599088,-112.04608
"44",4736,33.470153,-112.0474211
"45",3971,33.4659637,-112.0506694
"46",1321,33.459347,-112.064755
"47",4283,33.4708674,-112.0653819
"48",553,33.4713,-112.064761
"49",23,33.4661987,-112.0632154
"50",3948,33.473125,-112.0650914
"51",5111,33.4579361,-112.0520629
"52",1377,33.4575264,-112.0472803
"53",2416,33.4658505,-111.9730379
"54",3758,33.4668576,-112.0298525
"55",3972,33.4657562,-111.9718284
"56",4976,33.458744,-112.029827
"57",3633,33.466124,-112.015464
"58",5463,33.4509955,-112.0013904
"59",5055,33.4514039,-111.973603
"60",2121,33.466688,-111.987753
"61",98,33.4513465,-111.9810889
"62",253,33.4552907,-111.9878697
"63",4124,33.4796892,-112.0297946
"64",5282,33.4554481,-111.9884856
"65",903,33.4766277,-112.0128996
"66",4548,33.478444,-111.9864838
"67",838,33.4736745,-111.9862587
"68",3963,33.450927,-112.0211988
"69",2274,33.4764103,-111.9864526
"70",539,33.476956,-111.986944
"71",2642,33.4926708,-112.0734808
"72",2291,33.4827511,-112.0734569
"73",971,33.5006213,-112.0743113
"74",4170,33.4633481,-112.0640507
"75",696,33.484705,-112.07333
"76",351,33.4978019,-112.074054
"77",4203,33.5096052184218,-112.071961359533
"78",4821,33.486194,-112.073895
"79",1991,33.4945129,-112.0689256
"80",1338,33.5107343896285,-112.073318521973
"81",3502,33.4841425,-112.0746935
"82",1343,33.5095681227152,-112.073327446624
"83",4618,33.5102286,-112.0741357
"84",346,33.4859173,-112.0690737
"85",4953,33.509666657083,-112.071740126281
"86",2831,33.4940597,-112.0741454
"87",4937,33.4833078592673,-112.075009830603
"88",546,33.5126276,-112.0740912
"89",337,33.5094995,-112.0687616
"90",5197,33.4915301,-112.0755533
"91",1492,33.4804917,-112.0490225
"92",3126,33.5094801,-112.0601964
"93",3347,33.5306963,-112.064714
"94",1025,33.5095292,-112.0609579
"95",279,33.529845,-112.064704
"96",1954,33.52812,-112.0646901
"97",5036,33.5102487,-112.0652928
"98",4740,33.5289148,-112.064517
"99",3228,33.5167768,-112.0646478
"100",4843,33.5095292,-112.0609579
"101",3740,33.5184314,-112.0641262
"102",1069,33.5124076744064,-112.065353393555
"103",3094,33.5102274,-112.0806121
"104",3445,33.4943842,-112.0606304
"105",4290,33.5089548,-112.0483091
"106",3035,33.504777,-112.047846
"107",43,33.5113051,-112.0471421
"108",3070,33.4797994,-112.0166115
"109",4294,33.4797994,-112.0166115
"110",2220,33.5091991,-112.0440506
"111",118,33.523984,-112.04698
"112",3359,33.5080289,-112.0479851
"113",3545,33.5088898,-112.046771
"114",1250,33.5373903,-112.0472679
"115",4356,33.4949943,-112.0473119
"116",2083,33.513505,-112.0479841
"117",2739,33.5098669,-112.0394971
"118",5024,33.5073239,-112.0468584
"119",2752,33.508799,-112.0458179
"120",2088,33.508732,-112.043847
"121",2309,33.5095722,-112.0425792
"122",3638,33.5223999,-112.0478399
"123",2204,33.5075996,-112.0448199
"124",2600,33.5318417,-112.0479816
"125",4222,33.5101676,-112.0449114
"126",3029,33.5026383,-112.0470936
"127",4043,33.507455,-112.040131
"128",4295,33.5258838,-112.047946
"129",1087,33.5306354,-112.0472356
"130",1385,33.509564,-112.0408787
"131",514,33.530335,-112.047101
"132",4395,33.507455,-112.040131
"133",4763,33.4962555,-112.0205287
"134",3614,33.5305094,-112.0154818
"135",2629,33.5080183,-112.0270172
"136",4983,33.4948208,-112.0163009
"137",3182,33.508229,-112.0265212
"138",4018,33.5232267,-112.0232519
"139",1237,33.4880275,-112.0299544
"140",4597,33.5094212,-112.0301061
