"","rating","user_id","business_id"
"1",4,1243,261
"2",3,441,261
"3",2,3285,1716
"4",2,2935,1716
"5",4,2052,1716
"6",5,3475,1716
"7",1,615,1716
"8",3,4104,1716
"9",4,55,1716
"10",5,4209,2770
"11",4,1262,2770
"12",2,26,2770
"13",5,3117,2770
"14",5,4241,2770
"15",3,3046,2770
"16",2,1256,2770
"17",4,278,2770
"18",3,3616,2770
"19",3,4239,2770
"20",4,1387,2770
"21",4,3260,2770
"22",3,2120,2770
"23",5,457,2770
"24",4,1949,2770
"25",4,2524,2770
"26",2,247,2770
"27",5,3727,2770
"28",4,2768,2770
"29",4,2602,2770
"30",5,174,2770
"31",4,144,2770
"32",5,4217,2770
"33",5,2435,2770
"34",3,3392,2770
"35",4,838,2770
"36",5,2435,2770
"37",4,1564,2770
"38",3,2917,2770
"39",3,115,2770
"40",2,1709,2770
"41",5,2044,2770
"42",4,2630,2770
"43",3,1375,2770
"44",4,2556,2770
"45",4,3011,2770
"46",1,777,2770
"47",3,2419,2770
"48",5,2231,2770
"49",2,2099,2770
"50",5,3840,2770
"51",4,3583,2770
"52",4,2966,2770
"53",4,3918,2770
"54",5,1108,2770
"55",5,691,2770
"56",3,2920,2770
"57",5,540,2770
"58",4,1366,2770
"59",4,2840,2770
"60",5,2054,2770
"61",5,3696,2770
"62",4,4032,2770
"63",5,3696,2770
"64",5,1108,2770
"65",5,992,2770
"66",4,3012,2770
"67",4,3590,2770
"68",4,1765,2770
"69",4,2047,2770
"70",3,3931,2770
"71",4,1015,2770
"72",5,2517,2770
"73",3,275,2770
"74",5,2821,2770
"75",3,2035,2770
"76",1,2099,2770
"77",3,3918,2770
"78",4,34,2770
"79",4,1772,2770
"80",3,4059,2770
"81",3,727,2770
"82",4,187,2770
"83",4,171,2770
"84",2,1480,2770
"85",2,2482,2770
"86",5,1776,2770
"87",1,3820,2770
"88",4,2837,2770
"89",5,4230,2770
"90",4,2780,2770
"91",1,3001,2770
"92",4,341,2770
"93",4,937,2770
"94",1,1122,2770
"95",5,2844,1631
"96",4,2862,1631
"97",4,2398,1631
"98",3,3772,1631
"99",4,1922,1631
"100",4,619,1631
"101",4,1375,1631
"102",3,480,1631
"103",4,596,1631
"104",4,1957,1631
"105",4,3486,1631
"106",4,1600,1631
"107",4,2420,1631
"108",4,2572,1631
"109",5,1233,1631
"110",5,2844,1631
"111",5,2844,1631
"112",4,1201,1631
"113",4,2047,1631
"114",2,4339,1631
"115",4,2955,1631
"116",5,3335,1631
"117",5,348,1631
"118",4,3435,1631
"119",3,472,1631
"120",5,2786,1631
"121",5,2786,1631
"122",1,2776,1631
"123",5,1996,1631
"124",4,2341,369
"125",4,2914,369
"126",4,2677,369
"127",4,2990,369
"128",1,1385,369
"129",2,787,369
"130",3,2018,369
"131",4,2067,369
"132",4,2395,369
"133",3,1648,369
"134",3,1774,369
"135",3,1433,369
"136",4,133,369
"137",2,360,369
"138",1,442,369
"139",4,940,369
"140",5,4119,369
"141",1,3576,369
"142",4,4002,369
"143",4,3980,369
"144",4,2960,369
"145",3,2365,369
"146",4,1670,369
"147",2,2955,369
"148",4,1014,369
"149",2,762,369
"150",5,3443,369
"151",2,204,369
"152",5,2178,369
"153",5,2507,369
"154",3,3888,369
"155",3,251,369
"156",5,726,369
